Source:,C:\Users\Drew Maatman\Documents\KiCad Projects\Projects\VFD_Clock\rev_b\hdw\Logic_Board\VFD_Clock\VFD_Clock.sch,,,,,,,,,,,,,,,,,,
Date:,10/18/2020 13:45,,,,,,,,,,,,,,,,,,
Tool:,Eeschema (5.1.4)-1,,,,,,,,,,,,,,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,,,,,,
Component Count:,400,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Ampacity,Baud_Rate,Config,Data_Length,Dielectric,Digi-Key PN,Flow_Control,Parity,Stop_Bits,Tolerance,Voltage,Wattage,display_footprint
,,C1901,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-7845-1-ND,,,,,50V,,603
,,C1902,10uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X5R,490-10474-1-ND,,,,,10V,,603
,,C1903,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-7845-1-ND,,,,,50V,,603
,,C1904,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-7845-1-ND,,,,,50V,,603
,,C1905,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-7845-1-ND,,,,,50V,,603
,,C2001,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2003,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2004,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2006,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2101,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2102,10uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X5R,490-12538-1-ND,,,,,6.3V,,603
,,C2103,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2104,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2105,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2106,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2107,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2108,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2201,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2202,4.7uF,Custom_Library:C_Custom,Capacitors_SMD:C_0805,,,,,,X7R,1276-2970-1-ND,,,,,16V,,805
,,C2203,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2204,4.7uF,Custom_Library:C_Custom,Capacitors_SMD:C_0805,,,,,,X7R,1276-2970-1-ND,,,,,16V,,805
,,C2301,10uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X5R,490-14372-1-ND,,,,,10V,,603
,,C2302,10uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X5R,490-14372-1-ND,,,,,10V,,603
,,C2303,10uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X5R,490-14372-1-ND,,,,,10V,,603
,,C2304,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2401,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2402,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2403,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2404,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2405,4.7uF,Custom_Library:C_Custom,Capacitors_SMD:C_0805,,,,,,X7R,1276-2972-1-ND,,,,,10V,,805
,,C2406,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2407,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2408,47pF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,NP0,478-1171-1-ND,,,,,50V,,603
,,C2409,47pF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,NP0,478-1171-1-ND,,,,,50V,,603
,,C2410,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
